date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:50	253/253	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Sep%202019%2006:14:49%20GMT	http://www.switch90.com/robots.txt		(from )
11:44:52	2463/2463	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2006:14:50%20GMT	http://www.switch90.com/	F:/My%20Web%20Sites/3/www.switch90.com/index.html	(from )
11:44:53	4085/4085	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20May%202017%2009:03:43%20GMT	http://www.switch90.com/css/app.css?v=1569305690	F:/My%20Web%20Sites/3/www.switch90.com/css/app4a9d.css	(from http://www.switch90.com/)
11:44:53	557/557	---M--	200	added ('OK')	image/png	date:Fri,%2026%20May%202017%2005:14:33%20GMT	http://www.switch90.com/favicon.png	F:/My%20Web%20Sites/3/www.switch90.com/favicon.png	(from http://www.switch90.com/)
11:44:54	7056/7056	---M--	200	added ('OK')	audio/mpeg	date:Wed,%2014%20Dec%202016%2011:51:48%20GMT	http://www.switch90.com/sound/switch.mp3	F:/My%20Web%20Sites/3/www.switch90.com/sound/switch.mp3	(from http://www.switch90.com/)
11:44:57	5869/5869	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2026%20May%202017%2009:05:28%20GMT	http://www.switch90.com/js/app.js?v=1569305690	F:/My%20Web%20Sites/3/www.switch90.com/js/app4a9d.js	(from http://www.switch90.com/)
11:44:58	83095/83095	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2010%20Feb%202017%2009:18:15%20GMT	http://www.switch90.com/js/jquery-2.0.0.min.js	F:/My%20Web%20Sites/3/www.switch90.com/js/jquery-2.0.0.min.js	(from http://www.switch90.com/)
11:44:59	25768/25768	---MCZ	200	added ('OK')	text/plain	date:Thu,%2012%20Jan%202017%2011:43:30%20GMT	http://www.switch90.com/css/fonts/indian_type_foundry_-_weissenhofgrotesk-medium-webfont.woff2	F:/My%20Web%20Sites/3/www.switch90.com/css/fonts/indian_type_foundry_-_weissenhofgrotesk-medium-webfont.woff2	(from http://www.switch90.com/css/app.css?v=1569305690)
11:45:00	162097/162097	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2012%20Jan%202017%2011:43:28%20GMT	http://www.switch90.com/css/fonts/indian_type_foundry_-_weissenhofgrotesk-medium-webfont.svg	F:/My%20Web%20Sites/3/www.switch90.com/css/fonts/indian_type_foundry_-_weissenhofgrotesk-medium-webfont.svg	(from http://www.switch90.com/css/app.css?v=1569305690)
11:45:01	32632/32632	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2012%20Jan%202017%2011:43:30%20GMT	http://www.switch90.com/css/fonts/indian_type_foundry_-_weissenhofgrotesk-medium-webfont.woff	F:/My%20Web%20Sites/3/www.switch90.com/css/fonts/indian_type_foundry_-_weissenhofgrotesk-medium-webfont.woff	(from http://www.switch90.com/css/app.css?v=1569305690)
11:45:03	63180/63180	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2012%20Jan%202017%2011:43:28%20GMT	http://www.switch90.com/css/fonts/indian_type_foundry_-_weissenhofgrotesk-medium-webfont.ttf	F:/My%20Web%20Sites/3/www.switch90.com/css/fonts/indian_type_foundry_-_weissenhofgrotesk-medium-webfont.ttf	(from http://www.switch90.com/css/app.css?v=1569305690)
